City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Brazzaville,CG,-4.2658,15.2832,82.0,69,36,2.13,light rain
301,Amapa,BR,1.0,-52.0,89.73,48,88,1.81,overcast clouds
302,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,72,75,12.66,broken clouds
303,Balaghat,IN,21.8,80.1833,63.88,57,11,4.27,few clouds
304,Provideniya,RU,64.3833,-173.3,28.67,97,100,8.28,overcast clouds
305,Baykit,RU,61.67,96.37,-5.1,96,100,6.22,overcast clouds
306,Kalaleh,IR,37.3807,55.4916,54.34,69,100,1.83,overcast clouds
307,Souillac,MU,-20.5167,57.5167,77.38,73,40,6.91,scattered clouds
308,Kodiak,US,57.79,-152.4072,13.51,73,0,5.75,clear sky
309,Ulaanbaatar,MN,47.9077,106.8832,-21.87,69,0,2.24,clear sky
310,Saint Anthony,US,45.0205,-93.218,18.25,70,100,19.57,overcast clouds
311,Umba,RU,66.6871,34.3429,30.0,92,100,5.03,overcast clouds
312,Izhma,RU,65.0083,53.9113,-2.36,100,87,2.51,overcast clouds
313,Hami,CN,42.8,93.45,11.3,23,8,3.47,clear sky
314,Tigil,RU,57.8,158.6667,23.67,97,100,4.38,overcast clouds
315,Bilibino,RU,68.0546,166.4372,5.41,93,100,5.21,overcast clouds
316,Samarai,PG,-10.6167,150.6667,81.54,80,74,6.67,broken clouds
317,Mikhaylovka,RU,50.06,43.2379,23.79,60,10,9.04,clear sky
318,Kieta,PG,-6.2167,155.6333,79.09,87,96,5.03,light rain
319,Wuchi,CN,29.3786,103.023,28.13,94,100,3.53,light snow
320,Nanzhang,CN,31.7765,111.8386,31.15,74,94,2.21,overcast clouds
321,Mwembe,TZ,-4.15,37.85,70.05,77,77,7.45,light rain
322,Valera,VE,9.3178,-70.6036,81.66,66,52,5.68,broken clouds
323,Edgewater,US,28.9889,-80.9023,81.09,69,20,8.05,few clouds
324,Warmbad,NA,-28.45,18.7333,98.44,12,3,18.75,clear sky
325,Sokoto,NG,13.0609,5.239,89.04,11,2,8.19,clear sky
326,Irbil,IQ,36.1926,44.0106,58.35,79,100,5.57,moderate rain
327,Victoria,HK,22.2855,114.1577,67.24,80,100,15.99,overcast clouds
328,Gamba,GA,-2.65,10.0,79.45,81,46,7.65,light rain
329,Iqaluit,CA,63.7506,-68.5145,-20.31,75,72,5.99,broken clouds
330,Omboue,GA,-1.5746,9.2618,80.53,77,78,7.07,broken clouds
331,Asilah,MA,35.465,-6.0348,64.36,54,66,2.95,broken clouds
332,Zilair,RU,52.2332,57.4392,3.67,94,50,3.02,scattered clouds
333,Cedar City,US,37.6775,-113.0619,36.57,35,0,13.8,clear sky
334,Huaicheng,CN,23.9051,112.1931,46.89,75,95,5.17,overcast clouds
335,Isla Vista,US,34.4133,-119.861,58.82,86,75,1.01,broken clouds
336,Egvekinot,RU,66.3167,-179.1667,14.56,73,5,8.63,clear sky
337,Gobabis,NA,-22.45,18.9667,90.88,14,9,16.35,clear sky
338,Fuyang,CN,32.9,115.8167,30.65,40,100,4.36,overcast clouds
339,Sokoni,TZ,-6.4333,39.55,80.71,79,66,9.1,broken clouds
340,Vertientes,CU,21.2594,-78.1464,86.61,47,3,13.33,clear sky
341,Tiznit,MA,29.5833,-9.5,68.49,36,24,6.82,few clouds
342,Faya,SA,18.3851,42.4509,59.52,66,64,5.39,broken clouds
343,Dauriya,RU,49.9333,116.8667,-23.71,93,26,5.28,scattered clouds
